protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_BRAFLDRAFT_89746.1.2.m.29425,-0.0399898478024049,0.0256198387743231,Yes,purple,purple,Q9R172,Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain],NOTCH family,Notch3,integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; signaling receptor activity [GO:0038023]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]; regulation of developmental process [GO:0050793]; regulation of transcription; DNA-templated [GO:0006355]; tissue regeneration [GO:0042246]; wound healing [GO:0042060],GO:0005509; GO:0005634; GO:0005886; GO:0006355; GO:0007219; GO:0007275; GO:0016021; GO:0030154; GO:0038023; GO:0042060; GO:0042246; GO:0050793,NA,NA
CHOYP_CNDP2.4.4.m.56870,-0.0393125470120912,0.0200636506528252,Yes,purple,purple,Q5R432,Cytosolic non-specific dipeptidase (EC 3.4.13.18) (CNDP dipeptidase 2),Peptidase M20A family,CNDP2,cytoplasm [GO:0005737]; alanylglutamate dipeptidase activity [GO:0103046]; carboxypeptidase activity [GO:0004180]; cytosolic dipeptidase activity [GO:0102008]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237],GO:0004180; GO:0005737; GO:0008237; GO:0046872; GO:0102008; GO:0103046,NA,NA
CHOYP_ADAMTS16.1.1.m.28149,-0.0367435716520092,0.00034078016469003,Yes,purple,purple,Q8TE56,A disintegrin and metalloproteinase with thrombospondin motifs 17 (ADAM-TS 17) (ADAM-TS17) (ADAMTS-17) (EC 3.4.24.-),,ADAMTS17,extracellular region [GO:0005576]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; nucleic acid binding [GO:0003676],GO:0003676; GO:0004222; GO:0005576; GO:0046872,NA,NA
CHOYP_DSIM_GD24875.1.1.m.66201,-0.0389182938220335,0.0127123697232495,Yes,purple,purple,Q3T149,Heat shock protein beta-1 (HspB1) (Heat shock 27 kDa protein) (HSP 27),Small heat shock protein (HSP20) family,HSPB1 HSP27,axon cytoplasm [GO:1904115]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; identical protein binding [GO:0042802]; protein binding involved in protein folding [GO:0044183]; protein homodimerization activity [GO:0042803]; anterograde axonal protein transport [GO:0099641]; chaperone-mediated protein folding [GO:0061077]; regulation of protein phosphorylation [GO:0001932],GO:0001932; GO:0005634; GO:0005737; GO:0005819; GO:0042802; GO:0042803; GO:0044183; GO:0061077; GO:0099641; GO:1904115,NA,NA
CHOYP_BRAFLDRAFT_127065.4.7.m.28277,-0.0359455909081227,0.00585251863345422,Yes,purple,purple,P82198,Transforming growth factor-beta-induced protein ig-h3 (Beta ig-h3),,Tgfbi,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; trans-Golgi network [GO:0005802]; cell adhesion molecule binding [GO:0050839]; collagen binding [GO:0005518]; extracellular matrix binding [GO:0050840]; extracellular matrix structural constituent [GO:0005201]; integrin binding [GO:0005178]; angiogenesis [GO:0001525]; cell adhesion [GO:0007155]; cell proliferation [GO:0008283]; chondrocyte differentiation [GO:0002062]; extracellular matrix organization [GO:0030198],GO:0001525; GO:0002062; GO:0005178; GO:0005201; GO:0005518; GO:0005604; GO:0005615; GO:0005802; GO:0007155; GO:0008283; GO:0030198; GO:0031012; GO:0050839; GO:0050840; GO:0062023,NA,NA
CHOYP_LOC100536597.1.1.m.52329,-0.0397591085614844,-0.0111396905335011,Yes,purple,purple,Q14657,EKC/KEOPS complex subunit LAGE3 (L antigen family member 3) (Protein ESO-3) (Protein ITBA2),CTAG/PCC1 family,LAGE3 DXS9879E ESO3 ITBA2,cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA processing [GO:0008033],GO:0000408; GO:0005634; GO:0005654; GO:0005737; GO:0008033; GO:0016604,NA,NA
CHOYP_contig_001129.m.1188,-0.0454089572741155,-0.0108445493787626,Yes,purple,purple,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_004705.m.5404,-0.0377631566880015,0.0243843111631147,Yes,purple,purple,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_contig_024166.m.27453,-0.0370537958938461,0.00286451800100867,Yes,purple,purple,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100881430.1.1.m.4201,-0.0354470285980367,0.0235029605942097,Yes,purple,purple,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100933241.16.45.m.30626,-0.0358154869199824,0.00753945101722503,Yes,purple,purple,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_PEAR1.8.16.m.41400,-0.0524145802828939,0.0251827169601704,Yes,purple,purple,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_CASP7.9.23.m.25523,-0.0247622428760211,0.0415279637033401,Yes,green,green,P55210,Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11],Peptidase C14A family,CASP7 MCH3,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:0097200]; cysteine-type peptidase activity [GO:0008234]; peptidase activity [GO:0008233]; apoptotic process [GO:0006915]; cellular response to staurosporine [GO:0072734]; execution phase of apoptosis [GO:0097194]; proteolysis [GO:0006508],GO:0004197; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006508; GO:0006915; GO:0008233; GO:0008234; GO:0072734; GO:0097153; GO:0097194; GO:0097200,GO:0072734,NA
CHOYP_TF2AA.1.1.m.50726,-0.0050322973032403,0.0444175799090909,Yes,green,green,P52655,Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)],TFIIA subunit 1 family,GTF2A1 TF2A1,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; transcription factor TFIIA complex [GO:0005672]; transcription factor TFIID complex [GO:0005669]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; RNA polymerase II repressing transcription factor binding [GO:0001103]; TBP-class protein binding [GO:0017025]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; snRNA transcription by RNA polymerase II [GO:0042795]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367],GO:0001103; GO:0003677; GO:0003713; GO:0005654; GO:0005669; GO:0005672; GO:0005829; GO:0006366; GO:0006367; GO:0008134; GO:0017025; GO:0042795; GO:0046982,GO:0042795,biosynthetic process; cellular nitrogen compound metabolic process
CHOYP_ISCW_ISCW000704.1.1.m.38250,-0.0249380235137192,0.0449649415687062,Yes,green,green,Q08E52,Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK),Protein kinase superfamily; STE Ser/Thr protein kinase family; STE20 subfamily,PAK1,actin filament [GO:0005884]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; invadopodium [GO:0071437]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]; ruffle membrane [GO:0032587]; ATP binding [GO:0005524]; collagen binding [GO:0005518]; protein serine/threonine kinase activity [GO:0004674]; Rac GTPase binding [GO:0048365]; actin cytoskeleton reorganization [GO:0031532]; activation of protein kinase activity [GO:0032147]; apoptotic process [GO:0006915]; branching morphogenesis of an epithelial tube [GO:0048754]; cell migration [GO:0016477]; exocytosis [GO:0006887]; hepatocyte growth factor receptor signaling pathway [GO:0048012]; negative regulation of cell proliferation involved in contact inhibition [GO:0060244]; positive regulation of cell migration [GO:0030335]; positive regulation of cell proliferation [GO:0008284]; positive regulation of intracellular estrogen receptor signaling pathway [GO:0033148]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of stress fiber assembly [GO:0051496]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of axonogenesis [GO:0050770]; regulation of MAPK cascade [GO:0043408]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]; wound healing [GO:0042060],GO:0001726; GO:0001934; GO:0004674; GO:0005518; GO:0005524; GO:0005737; GO:0005829; GO:0005884; GO:0005886; GO:0005911; GO:0005925; GO:0006468; GO:0006887; GO:0006915; GO:0008284; GO:0016477; GO:0023014; GO:0030335; GO:0031098; GO:0031116; GO:0031532; GO:0032147; GO:0032587; GO:0032991; GO:0033138; GO:0033148; GO:0042060; GO:0043408; GO:0043507; GO:0046777; GO:0048012; GO:0048365; GO:0048754; GO:0050770; GO:0051496; GO:0060244; GO:0071437,GO:0031116; GO:0043507; GO:0048012,cellular protein modification process; response to stress; cytoskeleton organization; signal transduction; cellular component assembly; protein-containing complex assembly
CHOYP_LOC100373864.2.2.m.55132,0.00130505864109162,0.0500626838431417,Yes,green,green,P12955,Xaa-Pro dipeptidase (X-Pro dipeptidase) (EC 3.4.13.9) (Imidodipeptidase) (Peptidase D) (Proline dipeptidase) (Prolidase),Peptidase M24B family; Eukaryotic-type prolidase subfamily,PEPD PRD,extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; aminopeptidase activity [GO:0004177]; manganese ion binding [GO:0030145]; metallocarboxypeptidase activity [GO:0004181]; proline dipeptidase activity [GO:0102009]; cellular amino acid metabolic process [GO:0006520]; collagen catabolic process [GO:0030574]; proteolysis [GO:0006508],GO:0004177; GO:0004181; GO:0005634; GO:0005654; GO:0006508; GO:0006520; GO:0030145; GO:0030574; GO:0070062; GO:0102009,GO:0030574,catabolic process
CHOYP_ADA17.3.3.m.54971,0.0118935522524983,0.0467224091842838,Yes,green,green,P27169,Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1),Paraoxonase family,PON1 PON,blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; high-density lipoprotein particle [GO:0034364]; intracellular membrane-bounded organelle [GO:0043231]; spherical high-density lipoprotein particle [GO:0034366]; acyl-L-homoserine-lactone lactonohydrolase activity [GO:0102007]; aryldialkylphosphatase activity [GO:0004063]; arylesterase activity [GO:0004064]; calcium ion binding [GO:0005509]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]; aromatic compound catabolic process [GO:0019439]; carboxylic acid catabolic process [GO:0046395]; cholesterol metabolic process [GO:0008203]; lipoxygenase pathway [GO:0019372]; organophosphate catabolic process [GO:0046434]; phosphatidylcholine metabolic process [GO:0046470]; positive regulation of binding [GO:0051099]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of transporter activity [GO:0032411]; response to fatty acid [GO:0070542]; response to fluoride [GO:1902617]; response to nutrient levels [GO:0031667]; response to toxic substance [GO:0009636],GO:0004063; GO:0004064; GO:0005509; GO:0005543; GO:0005576; GO:0005615; GO:0008203; GO:0009636; GO:0010875; GO:0019372; GO:0019439; GO:0031667; GO:0032411; GO:0034364; GO:0034366; GO:0042803; GO:0043231; GO:0046395; GO:0046434; GO:0046470; GO:0051099; GO:0070062; GO:0070542; GO:0072562; GO:0102007; GO:1902617,GO:0010875; GO:0046470,lipid metabolic process; transport
CHOYP_G6PD.1.2.m.38380,0.00490712256397749,0.0430038860919972,Yes,green,green,P05370,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),Glucose-6-phosphate dehydrogenase family,G6pdx G6pd,cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; carbohydrate binding [GO:0030246]; glucose binding [GO:0005536]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]; protein homodimerization activity [GO:0042803]; cellular response to oxidative stress [GO:0034599]; cholesterol biosynthetic process [GO:0006695]; erythrocyte maturation [GO:0043249]; glucose 6-phosphate metabolic process [GO:0051156]; glucose metabolic process [GO:0006006]; glutathione metabolic process [GO:0006749]; NADP metabolic process [GO:0006739]; NADPH regeneration [GO:0006740]; negative regulation of cell growth involved in cardiac muscle cell development [GO:0061052]; negative regulation of protein glutathionylation [GO:0010734]; negative regulation of reactive oxygen species metabolic process [GO:2000378]; pentose biosynthetic process [GO:0019322]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt; oxidative branch [GO:0009051]; positive regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1904879]; regulation of neuron apoptotic process [GO:0043523]; response to ethanol [GO:0045471]; response to food [GO:0032094]; response to iron(III) ion [GO:0010041]; response to organic cyclic compound [GO:0014070]; ribose phosphate biosynthetic process [GO:0046390],GO:0004345; GO:0005536; GO:0005634; GO:0005829; GO:0006006; GO:0006098; GO:0006695; GO:0006739; GO:0006740; GO:0006749; GO:0009051; GO:0009898; GO:0010041; GO:0010734; GO:0014070; GO:0019322; GO:0030246; GO:0032094; GO:0034599; GO:0042803; GO:0043231; GO:0043249; GO:0043523; GO:0045471; GO:0046390; GO:0050661; GO:0051156; GO:0061052; GO:1904879; GO:2000378,GO:0006740; GO:0032094; GO:0043523; GO:0061052,cell death; cell differentiation; cellular nitrogen compound metabolic process; growth; small molecule metabolic process; anatomical structure development; cofactor metabolic process
CHOYP_MP2K5.1.1.m.45311,0.004145759367507,0.036266190437164,Yes,green,green,Q13163,Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5),Protein kinase superfamily; STE Ser/Thr protein kinase family; MAP kinase kinase subfamily,MAP2K5 MEK5 MKK5 PRKMK5,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; MAP kinase kinase activity [GO:0004708]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; activation of MAPK activity [GO:0000187]; activation of protein kinase activity [GO:0032147]; cellular response to growth factor stimulus [GO:0071363]; cellular response to laminar fluid shear stress [GO:0071499]; ERK5 cascade [GO:0070375]; heart development [GO:0007507]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of chemokine (C-X-C motif) ligand 2 production [GO:2000342]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001240]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of interleukin-8 biosynthetic process [GO:0045415]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of response to cytokine stimulus [GO:0060761]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cell growth [GO:0030307]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of protein metabolic process [GO:0051247]; positive regulation of transcription by RNA polymerase II [GO:0045944]; signal transduction [GO:0007165]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098],GO:0000122; GO:0000187; GO:0004672; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005634; GO:0005737; GO:0005819; GO:0005829; GO:0007165; GO:0007507; GO:0023014; GO:0030307; GO:0031098; GO:0032088; GO:0032147; GO:0034115; GO:0043154; GO:0045415; GO:0045944; GO:0046872; GO:0050679; GO:0051247; GO:0060761; GO:0070375; GO:0071363; GO:0071499; GO:0090051; GO:2000342; GO:2001240,GO:0000187; GO:0090051,cellular protein modification process; signal transduction; locomotion; anatomical structure formation involved in morphogenesis; anatomical structure development; cell motility
